symbol,pdf_url,suspension_date,reason
BEBS.JK,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202510/fed47be7bc_96225a718f.pdf,30 Juni 2025,
KOKA.JK,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202510/fed47be7bc_96225a718f.pdf,30 Juni 2025,
PMMP.JK,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202510/fed47be7bc_96225a718f.pdf,30 Juni 2025,
PTDU.JK,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202510/fed47be7bc_96225a718f.pdf,30 Juni 2025,
SQMI.JK,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202510/fed47be7bc_96225a718f.pdf,30 Juni 2025,
SWAT.JK,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202510/fed47be7bc_96225a718f.pdf,30 Juni 2025,
ZBRA.JK,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202510/fed47be7bc_96225a718f.pdf,30 Juni 2025,
WIKA.JK,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202511/dd16ea7f5f_aecb1ef917.pdf,,Perseroan telah menunda pembayaran pokok Sukuk Mudharabah Berkelanjutan II Wijaya Karya Tahap II  Tahun 2022 Seri A (SMWIKA02ACN2) dan Obligasi Berkelanjutan II Wijaya Karya Tahap II Tahun 2022 Seri A (WIKA02ACN2)
BIMA.JK,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202511/ace833703f_d14af9a364.pdf,19 November 2025,
TGUK.JK,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202512/115146af7b_b2c1c22462.pdf,1 Desember 2025,
WIKA.JK,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202512/5e74744bb4_9ecb581cf7.pdf,,
WIKA.JK,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202512/9ffbcff0e4_448a6db845.pdf,,
WIKA.JK,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202512/24ce01ebf5_9ab24dd809.pdf,,
WIKA.JK,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202512/24ce01ebf5_9ab24dd809.pdf,,
